City_ID,City,Lat,Lng,Max Temp F,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,78.94399999999999,92,20,1.03,MY,2023-09-13 23:33:56
1,debre birhan,9.6833,39.5333,51.656,78,95,0.48,ET,2023-09-13 23:41:06
2,port-aux-francais,-49.35,70.2167,35.15,74,62,15.88,TF,2023-09-13 23:41:07
3,badovinci,44.7858,19.3714,73.31,35,100,1.22,RS,2023-09-13 23:41:07
4,grytviken,-54.2811,-36.5092,13.747999999999998,72,39,3.0,GS,2023-09-13 23:41:07
5,adamstown,-25.066,-130.1015,63.64399999999999,62,5,6.17,PN,2023-09-13 23:41:08
6,al lagowa,11.4,29.1333,76.226,65,26,1.3,SD,2023-09-13 23:41:08
7,puerto natales,-51.7236,-72.4875,34.664,99,100,0.41,CL,2023-09-13 23:41:08
8,port elizabeth,-33.918,25.5701,59.95399999999999,67,26,12.09,ZA,2023-09-13 23:41:09
9,badger,64.8,-147.5333,58.982,54,0,1.54,US,2023-09-13 23:41:09
10,duck lake,52.8168,-106.2344,74.588,32,87,3.23,CA,2023-09-13 23:41:09
11,waitangi,-43.9535,-176.5597,56.822,78,72,3.58,NZ,2023-09-13 23:41:10
12,thompson,55.7435,-97.8558,66.362,68,75,3.6,CA,2023-09-13 23:41:10
13,talnakh,69.4865,88.3972,51.206,98,100,6.18,RU,2023-09-13 23:41:10
14,papatowai,-46.5619,169.4708,52.502,77,66,6.43,NZ,2023-09-13 23:41:11
15,talca,-35.4333,-71.6667,50.9,73,100,0.39,CL,2023-09-13 23:41:11
16,jamestown,42.097,-79.2353,62.186,77,20,3.09,US,2023-09-13 23:36:30
17,longyearbyen,78.2186,15.6401,37.238,70,40,9.26,SJ,2023-09-13 23:31:25
18,vilyuchinsk,52.9306,158.4028,70.07,88,100,3.07,RU,2023-09-13 23:41:12
19,edinburgh of the seven seas,-37.0676,-12.3116,59.036,87,92,18.38,SH,2023-09-13 23:41:12
20,bredasdorp,-34.5322,20.0403,51.89,72,25,6.17,ZA,2023-09-13 23:41:13
21,qaqortoq,60.7167,-46.0333,40.622,70,12,1.72,GL,2023-09-13 23:38:44
22,touros,-5.1989,-35.4608,76.946,83,16,6.94,BR,2023-09-13 23:41:13
23,port saint john's,-31.6229,29.5448,62.528000000000006,67,0,5.62,ZA,2023-09-13 23:41:14
24,saint-benoit,-21.038,55.7194,69.872,82,91,3.48,RE,2023-09-13 23:41:14
25,hamilton,39.1834,-84.5333,74.246,51,20,2.57,US,2023-09-13 23:40:31
26,blackmans bay,-43.0167,147.3167,59.738,78,96,1.63,AU,2023-09-13 23:41:15
27,nikolayevsk-on-amure,53.1406,140.73,55.832,47,0,5.36,RU,2023-09-13 23:41:15
28,invercargill,-46.4,168.35,53.024,88,80,1.79,NZ,2023-09-13 23:40:21
